1,Grzegorz,Przybylski,2014-01-07,man,Gdynia 3 Maja 66 b/6,hprzybylski@gmail.com,1
2,Dominik,Wasilewski,2014-02-15,man,Gdynia 3 Maja 59 c/7,ewasilewski@gmail.com,1
3,Daria,Grabowska,2014-03-25,woman,Gdynia Chopina 66 87 c/2,pgrabowska@gmail.com,1
4,Adam,Kowalski,2014-04-06,man,Gdynia Kosciuszki 8 a/10,akowalski@gmail.com,1
5,Sebastian,Szymanski,2014-05-10,man,Gdynia Chwarznienska 65 c/6,rszymanski@gmail.com,1
6,Kamila,Mazurek,2014-06-28,woman,Gdynia Wzgorze Sw. Maksymiliana 94 a/10,imazurek@gmail.com,1
7,Piotr,Sadowski,2014-07-15,man,Gdynia Hutnicza 16 b/10,ssadowski@gmail.com,1
8,Kinga,Zielinska,2014-08-24,woman,Gdynia Chopina 66 69 b/7,wzielinska@gmail.com,1
9,Sara,Lis,2014-09-11,woman,Gdynia Slowackiego 66 a/7,wlis@gmail.com,1
10,Wiktor,Sadowski,2014-10-18,man,Gdynia Morska 98 c/2,nsadowski@gmail.com,1
11,Weronika,Nowakowska,2014-11-01,woman,Gdynia Sobotki 84 c/8,knowakowska@gmail.com,1
12,Adam,Dudi,2014-12-22,man,Gdynia Jana z Kolna 16 c/9,fdudi@gmail.com,1
13,Krzysztof,Mazurek,2014-01-18,man,Gdynia Hutnicza 36 b/8,pmazurek@gmail.com,1
14,Oliwia,Sobczak,2014-02-03,woman,Gdynia Komuny Paryskiej 89 c/1,fsobczak@gmail.com,1
15,Antoni,Wrobel,2014-03-26,man,Gdynia Chwarznienska 42 b/10,fwrobel@gmail.com,1
16,Ignacy,Michalak,2014-04-11,man,Gdynia Hutnicza 5 c/3,nmichalak@gmail.com,1
17,Oliwia,Witkowska,2014-05-29,woman,Gdynia Sobotki 83 a/3,nwitkowska@gmail.com,1
18,Zuzanna,Wieczorek,2014-06-15,woman,Gdynia Komuny Paryskiej 73 c/3,awieczorek@gmail.com,1
19,Blazej,Pawlak,2014-07-20,man,Gdynia Paderewskiego 98 c/3,wpawlak@gmail.com,1
20,Dariusz,Pawlak,2014-08-12,man,Gdynia Wzgorze Nawiedzenia 42 a/6,ppawlak@gmail.com,1
21,Dariusz,Ostrowski,2014-09-23,man,Gdynia Wiczlina 26 b/10,dostrowski@gmail.com,1
22,Maciej,Szewczyk,2014-10-05,man,Gdynia Morska 68 a/6,bszewczyk@gmail.com,1
23,Oliwier,Sobczak,2014-11-11,man,Gdynia Paderewskiego 36 a/2,hsobczak@gmail.com,1
24,Norbert,Sobczak,2014-12-27,man,Gdynia Legionow 19 a/8,lsobczak@gmail.com,1
25,Hubert,Maj,2014-01-28,man,Gdynia Kielecka 66 a/3,omaj@gmail.com,1
26,Grzegorz,Kaczmarek,2014-02-08,man,Gdynia Sobotki 50 c/8,zkaczmarek@gmail.com,1
27,Stanislaw,Kubiak,2014-03-27,man,Gdynia Wiejska 96 c/2,tkubiak@gmail.com,1
28,Monika,Kaminska,2014-04-20,woman,Gdynia Legionow 29 b/8,gkaminska@gmail.com,1
29,Jakub,Wlodarczyk,2014-05-05,man,Gdynia Slowackiego 64 b/8,nwlodarczyk@gmail.com,1
30,Wiktor,Urbaniak,2014-06-20,man,Gdynia Polska 55 c/7,curbaniak@gmail.com,1
31,Sebastian,Sawicki,2014-07-02,man,Gdynia Komuny Paryskiej 93 a/2,dsawicki@gmail.com,2
32,Laura,Jaworska,2014-08-19,woman,Gdynia Wzgorze Nawiedzenia 72 b/10,ljaworska@gmail.com,2
33,Barbara,Kaczmarczyk,2014-09-26,woman,Gdynia Derdowskiego 50 a/9,okaczmarczyk@gmail.com,2
